"","ph:6.5","pH:6.8","pH:7.1"
"ANLN",-1.14774736309515,0.464297256705858,0.683450106389295
"STXBP2",-1.11096899716132,0.28288421334644,0.82808478381488
"CDC42EP3",-1.14255014028383,0.426587880995631,0.715962259288198
"CTGF",-1.15415749697677,0.546413554387671,0.607743942589101
"TPM1",-1.14910852674412,0.476257796889484,0.672850729854641
"POM121C;POM121B",-1.09495704878386,0.864971510123757,0.229985538660099
"FXN",1.15257655578562,-0.636913868941593,-0.515662686844029
"CEP170B",-1.15142473245383,0.500440763877692,0.650983968576138
"THBS1",-1.03846858152091,0.081984643653144,0.956483937867763
"NEDD4",-1.11285588538143,0.28966243933818,0.823193446043252
"SEC23B",-0.903732008986128,-0.170589891093461,1.07432190007959
"MOCS2",-0.987389564356707,-0.0247609884999207,1.01215055285663
"PCOLCE",-1.15408600804959,0.609663772227297,0.544422235822294
"ISG15",-1.10604371154406,0.265792885931959,0.840250825612096
"CLN6",-1.15425777586277,0.604818960976676,0.549438814886091
"TIPRL",-1.08109450767886,0.189226888503248,0.891867619175613
"MT-ATP8",1.15168163341477,-0.503576984527596,-0.648104648887178
"SRA1",-1.13356748138591,0.376340641951347,0.757226839434562
"GGCT",-1.14074082146196,0.725395517367695,0.415345304094262
"C17orf85",-1.06792968972774,0.153643095093338,0.914286594634397
"AACS",-1.15438362918801,0.600618882209022,0.553764746978988
"TMEM231",-0.517614370710908,-0.635092430051759,1.15270680076267
"ADIRF",0.904987975946801,0.168591813300292,-1.07357978924709
"DDHD2",-1.09534530065791,0.231185677066275,0.864159623591636
"CLDN11",0.927121505904686,-1.05965997704743,0.132538471142749
"PIH1D1",-1.15469674636837,0.574785573010123,0.579911173358242
"CROCC",1.154106304147,-0.609130855328558,-0.544975448818438
"PRUNE2",-0.343700389609531,-0.782823849901957,1.12652423951149
"PIP5K1C",-0.938176552243815,-0.113894200128393,1.05207075237221
"UTP14A",-1.11592885027813,0.301007034045321,0.814921816232806
"UEVLD",-1.15311926234275,0.524243523607941,0.628875738734806
"PTX3",0.0988755785461921,-1.04576490170925,0.946889323163059
"NEU1",-1.1052696511224,0.2631797362454,0.842089914877004
"CD2AP",0.942688805151284,-1.0488419025545,0.106153097403218
"PODXL",-1.02884684806007,0.0604348532183459,0.968411994841726
"SMARCC1",-1.14973497663394,0.482227795806609,0.667507180827332
"YIF1B",-1.13042233754867,0.361228316362042,0.769194021186625
"BCAR1",-0.766869956180437,-0.364183141494146,1.13105309767458
"NBR1",-1.15245639089911,0.638543525079115,0.513912865819999
"KPNB1",-1.13194453642998,0.36842183203544,0.763522704394544
"STK10",-1.1513076597994,0.499050929397047,0.652256730402355
"FKBP15",-1.14866783890607,0.47224745170563,0.676420387200441
"CALCOCO2",-1.15087786780416,0.494136412115182,0.65674145568898
"MRPS33",1.12146047130333,-0.322518547277472,-0.798941924025859
"PLEKHO2",1.00261760717652,-0.997361674091721,-0.00525593308479797
"CD46",-0.220514281963498,-0.871338543904647,1.09185282586814
"SESN2",-1.10747022873134,0.270658677064155,0.836811551667183
"NFKBIB",-1.14179961452487,0.421835290347292,0.719964324177578
"ZNF185",-1.0810744318631,0.189170520613251,0.891903911249851
"PUF60",-1.13795080765478,0.738683887759049,0.399266919895726
"UAP1",-1.15357528145447,0.532650892852744,0.620924388601723
"NCAPD2",-1.13327883426597,0.374912233735373,0.758366600530592
"COL1A2",-1.15358687635454,0.532884566329624,0.620702310024916
"TMEM41B",1.11646019429301,-0.30300965141496,-0.813450542878051
"JAK1",0.951281562069716,-1.04247192189574,0.0911903598260263
"LYPLA1",-1.14398692354243,0.707899455284899,0.436087468257533
"CA12",1.1530327716079,-0.522789570351539,-0.630243201256359
"AARS2",0.968159226100846,0.0608981706131487,-1.02905739671399
"FAM180A",-0.988981123647917,-0.0216850408550896,1.01066616450301
"GLTSCR2",-0.758969558145872,-0.37415565731294,1.13312521545881
"KRT19",0.117457786318674,-1.0535418159367,0.936084029618025
"TMEM41A",1.01206571671077,-0.987480922837984,-0.0245847938727828
"B2M",1.1310271665383,-0.364060955055334,-0.766966211482968
"C11orf98",-0.989800394166839,-0.0200962929826569,1.0098966871495
"SNAP29",-1.01728835526181,0.0355233667521775,0.98176498850963
"ALG6",-1.13941739662717,0.407548292549679,0.731869104077496
"ATP5J",0.735995851758852,-1.13853837234886,0.402542520590012
"ASMTL",-1.09112400724657,0.872802436039028,0.21832157120754
"COL1A1",-1.15441704336907,0.555050735597754,0.599366307771312
"OGFR",0.640924657333815,-1.15227461982168,0.511349962487863
"TPBG",-1.1213873336469,0.322223886867522,0.799163446779374
"EPG5",-1.10192435170863,0.252094241251703,0.84983011045693
"ZYX",-0.945619463668855,1.04670246784698,-0.101083004178121
